@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
59,724,0,1368,59,0.958655,1,0.34608,1,0.65392,0.514205,0.972571,1.028203,0.799371
60,724,0,1367,60,0.957954,1,0.346246,1,0.653754,0.514387,0.972106,1.028694,0.800523
61,724,0,1366,61,0.957253,1,0.346411,1,0.653589,0.51457,0.971641,1.029187,0.80392
62,724,0,1365,62,0.956552,1,0.346577,1,0.653423,0.514753,0.971176,1.029679,0.809802
63,724,0,1364,63,0.955851,1,0.346743,1,0.653257,0.514936,0.970711,1.030172,0.812419
64,724,0,1363,64,0.955151,1,0.346909,1,0.653091,0.515119,0.970246,1.030666,0.815208
65,724,0,1362,65,0.95445,1,0.347076,1,0.652924,0.515302,0.969781,1.03116,0.817853
66,724,0,1361,66,0.953749,1,0.347242,1,0.652758,0.515486,0.969317,1.031655,0.820732
67,724,0,1360,67,0.953048,1,0.347409,1,0.652591,0.51567,0.968852,1.03215,0.822675
68,724,0,1359,68,0.952348,1,0.347576,1,0.652424,0.515853,0.968387,1.032645,0.826095
69,724,0,1358,69,0.951647,1,0.347743,1,0.652257,0.516037,0.967922,1.033141,0.831491
70,724,0,1357,70,0.950946,1,0.34791,1,0.65209,0.516221,0.967457,1.033638,0.832373
71,724,0,1356,71,0.950245,1,0.348077,1,0.651923,0.516405,0.966992,1.034135,0.832682
72,724,0,1355,72,0.949544,1,0.348244,1,0.651756,0.516589,0.966527,1.034632,0.839309
73,724,0,1354,73,0.948844,1,0.348412,1,0.651588,0.516774,0.966062,1.03513,0.84316
74,724,0,1353,74,0.948143,1,0.34858,1,0.65142,0.516958,0.965597,1.035628,0.843559
75,724,0,1352,75,0.947442,1,0.348748,1,0.651252,0.517143,0.965132,1.036127,0.84753
76,724,0,1351,76,0.946741,1,0.348916,1,0.651084,0.517328,0.964668,1.036627,0.848286
77,724,0,1350,77,0.946041,1,0.349084,1,0.650916,0.517513,0.964203,1.037126,0.84982
78,724,0,1349,78,0.94534,1,0.349252,1,0.650748,0.517698,0.963738,1.037627,0.850294
79,724,0,1348,79,0.944639,1,0.349421,1,0.650579,0.517883,0.963273,1.038127,0.852393
80,724,0,1347,80,0.943938,1,0.34959,1,0.65041,0.518068,0.962808,1.038629,0.852412
81,724,0,1346,81,0.943238,1,0.349758,1,0.650242,0.518253,0.962343,1.03913,0.854564
82,724,0,1345,82,0.942537,1,0.349928,1,0.650072,0.518439,0.961878,1.039633,0.854641
83,724,0,1344,83,0.941836,1,0.350097,1,0.649903,0.518625,0.961413,1.040135,0.858139
84,724,0,1343,84,0.941135,1,0.350266,1,0.649734,0.51881,0.960948,1.040639,0.863206
85,724,0,1342,85,0.940434,1,0.350436,1,0.649564,0.518996,0.960483,1.041142,0.863374
86,724,0,1341,86,0.939734,1,0.350605,1,0.649395,0.519183,0.960019,1.041646,0.866971
87,724,0,1340,87,0.939033,1,0.350775,1,0.649225,0.519369,0.959554,1.042151,0.867232
88,724,0,1339,88,0.938332,1,0.350945,1,0.649055,0.519555,0.959089,1.042656,0.868787
89,724,0,1338,89,0.937631,1,0.351115,1,0.648885,0.519742,0.958624,1.043162,0.869307
90,724,0,1337,90,0.936931,1,0.351286,1,0.648714,0.519928,0.958159,1.043668,0.870194
91,724,0,1336,91,0.93623,1,0.351456,1,0.648544,0.520115,0.957694,1.044175,0.871993
92,724,0,1335,92,0.935529,1,0.351627,1,0.648373,0.520302,0.957229,1.044682,0.872312
93,724,0,1334,93,0.934828,1,0.351798,1,0.648202,0.520489,0.956764,1.04519,0.873642
94,724,0,1333,94,0.934128,1,0.351969,1,0.648031,0.520676,0.956299,1.045698,0.874343
95,724,0,1332,95,0.933427,1,0.35214,1,0.64786,0.520863,0.955834,1.046206,0.874923
96,724,0,1331,96,0.932726,1,0.352311,1,0.647689,0.521051,0.95537,1.046715,0.875324
97,724,0,1330,97,0.932025,1,0.352483,1,0.647517,0.521238,0.954905,1.047225,0.876102
98,724,0,1329,98,0.931324,1,0.352655,1,0.647345,0.521426,0.95444,1.047735,0.876115
99,724,0,1328,99,0.930624,1,0.352827,1,0.647173,0.521614,0.953975,1.048246,0.877525
100,724,0,1327,100,0.929923,1,0.352999,1,0.647001,0.521802,0.95351,1.048757,0.877943
101,724,0,1326,101,0.929222,1,0.353171,1,0.646829,0.52199,0.953045,1.049268,0.878803
102,724,0,1325,102,0.928521,1,0.353343,1,0.646657,0.522178,0.95258,1.04978,0.879446
103,724,0,1324,103,0.927821,1,0.353516,1,0.646484,0.522367,0.952115,1.050293,0.881498
104,724,0,1323,104,0.92712,1,0.353688,1,0.646312,0.522555,0.95165,1.050806,0.881957
105,724,0,1322,105,0.926419,1,0.353861,1,0.646139,0.522744,0.951185,1.05132,0.882169
106,724,0,1321,106,0.925718,1,0.354034,1,0.645966,0.522932,0.950721,1.051834,0.882836
107,724,0,1320,107,0.925018,1,0.354207,1,0.645793,0.523121,0.950256,1.052348,0.883712
108,724,0,1319,108,0.924317,1,0.354381,1,0.645619,0.52331,0.949791,1.052863,0.885308
109,724,0,1318,109,0.923616,1,0.354554,1,0.645446,0.5235,0.949326,1.053379,0.885702
110,724,0,1317,110,0.922915,1,0.354728,1,0.645272,0.523689,0.948861,1.053895,0.885996
111,724,0,1316,111,0.922214,1,0.354902,1,0.645098,0.523878,0.948396,1.054412,0.886914
112,724,0,1315,112,0.921514,1,0.355076,1,0.644924,0.524068,0.947931,1.054929,0.886929
113,723,1,1315,112,0.921514,0.998619,0.35476,0.998619,0.64524,0.523534,0.947466,1.053989,0.887744
114,723,1,1314,113,0.920813,0.998619,0.354934,0.998619,0.645066,0.523723,0.947001,1.054506,0.887755
115,723,1,1313,114,0.920112,0.998619,0.355108,0.998619,0.644892,0.523913,0.946536,1.055024,0.889264
116,723,1,1312,115,0.919411,0.998619,0.355283,0.998619,0.644717,0.524103,0.946072,1.055543,0.889818
117,723,1,1311,116,0.918711,0.998619,0.355457,0.998619,0.644543,0.524293,0.945607,1.056061,0.890173
118,723,1,1310,117,0.91801,0.998619,0.355632,0.998619,0.644368,0.524483,0.945142,1.056581,0.891168
119,723,1,1309,118,0.917309,0.998619,0.355807,0.998619,0.644193,0.524673,0.944677,1.057101,0.891562
120,723,1,1308,119,0.916608,0.998619,0.355982,0.998619,0.644018,0.524864,0.944212,1.057621,0.891901
121,723,1,1307,120,0.915907,0.998619,0.356158,0.998619,0.643842,0.525054,0.943747,1.058142,0.89204
122,723,1,1306,121,0.915207,0.998619,0.356333,0.998619,0.643667,0.525245,0.943282,1.058664,0.892763
123,723,1,1305,122,0.914506,0.998619,0.356509,0.998619,0.643491,0.525436,0.942817,1.059186,0.893037
124,723,1,1304,123,0.913805,0.998619,0.356685,0.998619,0.643315,0.525627,0.942352,1.059708,0.893078
125,723,1,1303,124,0.913104,0.998619,0.356861,0.998619,0.643139,0.525818,0.941887,1.060231,0.893356
126,723,1,1302,125,0.912404,0.998619,0.357037,0.998619,0.642963,0.526009,0.941423,1.060755,0.894007
127,723,1,1301,126,0.911703,0.998619,0.357213,0.998619,0.642787,0.526201,0.940958,1.061279,0.894448
128,723,1,1300,127,0.911002,0.998619,0.35739,0.998619,0.64261,0.526392,0.940493,1.061804,0.89633
129,723,1,1299,128,0.910301,0.998619,0.357567,0.998619,0.642433,0.526584,0.940028,1.062329,0.897033
130,723,1,1298,129,0.909601,0.998619,0.357744,0.998619,0.642256,0.526776,0.939563,1.062855,0.897741
131,723,1,1297,130,0.9089,0.998619,0.357921,0.998619,0.642079,0.526968,0.939098,1.063381,0.89786
132,723,1,1296,131,0.908199,0.998619,0.358098,0.998619,0.641902,0.52716,0.938633,1.063907,0.89847
133,723,1,1295,132,0.907498,0.998619,0.358276,0.998619,0.641724,0.527352,0.938168,1.064435,0.899469
134,723,1,1294,133,0.906797,0.998619,0.358453,0.998619,0.641547,0.527545,0.937703,1.064962,0.899551
135,723,1,1293,134,0.906097,0.998619,0.358631,0.998619,0.641369,0.527737,0.937238,1.065491,0.900917
136,723,1,1292,135,0.905396,0.998619,0.358809,0.998619,0.641191,0.52793,0.936774,1.066019,0.90146
137,723,1,1291,136,0.904695,0.998619,0.358987,0.998619,0.641013,0.528123,0.936309,1.066549,0.901757
138,723,1,1290,137,0.903994,0.998619,0.359165,0.998619,0.640835,0.528316,0.935844,1.067078,0.902332
139,723,1,1289,138,0.903294,0.998619,0.359344,0.998619,0.640656,0.528509,0.935379,1.067609,0.902377
140,723,1,1288,139,0.902593,0.998619,0.359523,0.998619,0.640477,0.528702,0.934914,1.06814,0.90268
141,723,1,1287,140,0.901892,0.998619,0.359701,0.998619,0.640299,0.528895,0.934449,1.068671,0.902888
142,723,1,1286,141,0.901191,0.998619,0.359881,0.998619,0.640119,0.529089,0.933984,1.069203,0.903523
143,723,1,1285,142,0.900491,0.998619,0.36006,0.998619,0.63994,0.529283,0.933519,1.069736,0.904935
